_id,AIR_CONDITIONING_TYPE,AMENITIES_AVAILABLE,ANNUAL_FIRE_ALARM_TEST_RECORDS,ANNUAL_FIRE_PUMP_FLOW_TEST_RECORDS,APPROVED_FIRE_SAFETY_PLAN,BALCONIES,BARRIER_FREE_ACCESSIBILTY_ENTR,BIKE_PARKING,CONFIRMED_STOREYS,CONFIRMED_UNITS,DATE_OF_LAST_INSPECTION_BY_TSSA,DESCRIPTION_OF_CHILD_PLAY_AREA,DESCRIPTION_OF_INDOOR_EXERCISE_ROOM,DESCRIPTION_OF_OUTDOOR_REC_FACILITIES,ELEVATOR_PARTS_REPLACED,ELEVATOR_STATUS,EMERG_POWER_SUPPLY_TEST_RECORDS,EXTERIOR_FIRE_ESCAPE,FACILITIES_AVAILABLE,FIRE_ALARM,GARBAGE_CHUTES,GREEN_BIN_LOCATION,HEATING_EQUIPMENT_STATUS,HEATING_EQUIPMENT_YEAR_INSTALLED,HEATING_TYPE,INDOOR_GARBAGE_STORAGE_AREA,INTERCOM,IS_THERE_A_COOLING_ROOM,IS_THERE_EMERGENCY_POWER,LAUNDRY_ROOM,LAUNDRY_ROOM_HOURS_OF_OPERATION,LAUNDRY_ROOM_LOCATION,LOCKER_OR_STORAGE_ROOM,NO_BARRIER_FREE_ACCESSBLE_UNITS,NO_OF_ACCESSIBLE_PARKING_SPACES,NO_OF_ELEVATORS,NO_OF_LAUNDRY_ROOM_MACHINES,NON_SMOKING_BUILDING,OUTDOOR_GARBAGE_STORAGE_AREA,PARKING_TYPE,PCODE,PET_RESTRICTIONS,PETS_ALLOWED,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RECYCLING_BINS_LOCATION,RSN,SEPARATE_GAS_METERS_EACH_UNIT,SEPARATE_HYDRO_METER_EACH_UNIT,SEPARATE_WATER_METERS_EA_UNIT,SITE_ADDRESS,SPRINKLER_SYSTEM,SPRINKLER_SYSTEM_TEST_RECORD,SPRINKLER_SYSTEM_YEAR_INSTALLED,TSSA_TEST_RECORDS,VISITOR_PARKING,WARD,WINDOW_TYPE,YEAR_BUILT,YEAR_OF_REPLACEMENT,YEAR_REGISTERED,NO_OF_STOREYS,IS_THERE_EMERGENCY_POWER?,NON-SMOKING_BUILDING,NO_OF_UNITS,NO_OF_ACCESSIBLEPARKING_SPACES,FACILITIES_AVAILABLE?,IS_THERE_A_COOLING_ROOM?,NO_BARRIERFREE_ACCESSBLE_UNITS
65159,NONE,,YES,YES,YES,NO,NO,Not Available,3.0,18.0,,,,,,,YES,NO,Green Bin / Organics,YES,NO,SIDE OF BUILDING,ORIGINAL,2015.0,HOT WATER,NO,YES,NO,YES,YES,24HRS,BASEMENT,YES,0.0,0.0,0.0,1.0,NO,YES,,M4R,,NO,,PRIVATE,SIDE OF BUILDING,4153991.0,NO,YES,YES,115  EGLINTON AVE W,NO,,,,UNAVAILABLE,12,DOUBLE PANE,1950.0,,2017.0,,,,,,,,
65160,INDIVIDUAL UNITS,,YES,YES,YES,NO,NO,Not Available,4.0,21.0,,,,,,,YES,NO,Recycling bins,YES,NO,,REPLACED,2011.0,HOT WATER,NO,YES,NO,YES,YES,24HRS,BASEMENT LEVEL,NO,0.0,0.0,0.0,4.0,NO,YES,Surface Parking,M4R,LEASHED,YES,,PRIVATE,OUTSIDE,4154009.0,NO,YES,NO,107  ROSELAWN AVE ,YES,YES,1954.0,,FREE,8,DOUBLE PANE,1954.0,,2017.0,,,,,,,,
65161,NONE,,YES,YES,YES,NO,NO,Not Available,3.0,36.0,,,,,,,,NO,Recycling bins,YES,NO,,REPLACED,2016.0,HOT WATER,NO,YES,NO,NO,YES,8 TO 11,BASEMENT,NO,0.0,24.0,0.0,6.0,YES,YES,Surface Parking,M4R,,YES,DS MANAGEMENT,PRIVATE,SIDE,4154013.0,NO,YES,NO,487  DUPLEX AVE ,NO,,,,UNAVAILABLE,8,DOUBLE PANE,1900.0,,2017.0,,,,,,,,
65162,NONE,,YES,YES,YES,YES,NO,40 indoor parking spots and 0 outdoor parking spots,18.0,118.0,"JUN 29, 2017",,,,,ORIGINAL,,NO,Green Bin / Organics,YES,YES,OUTSIDE DRIVEWAY,ORIGINAL,1966.0,ELECTRIC,NO,YES,NO,NO,YES,24 HOURS,BASEMENT,YES,0.0,0.0,2.0,10.0,NO,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",M4Y,,YES,METCAP LIVING MANAGEMENT INC.,PRIVATE,OUTDOOR,4153471.0,NO,NO,NO,155  WELLESLEY ST E,YES,YES,1966.0,NO,PAID,13,DOUBLE PANE,1966.0,,2017.0,,,,,,,,
65163,INDIVIDUAL UNITS,Indoor recreation room,YES,YES,YES,NO,YES,Not Available,12.0,50.0,"MAY 5, 2016",,,,RE MODERNIZATION,REPLACED,YES,NO,Green Bin / Organics,YES,YES,INSIDE GARBAGE ROOM,REPLACED,1997.0,HOT WATER,YES,YES,YES,YES,YES,24 ,8TH FLOOR,YES,4.0,0.0,2.0,8.0,NO,YES,Surface Parking,M4Y,,YES,LOFT COMMUNITY SERVICES,SOCIAL HOUSING,OUTSIDE,4153484.0,NO,NO,NO,32  GRENVILLE ST ,YES,YES,1997.0,YES,UNAVAILABLE,13,DOUBLE PANE,1900.0,1997.0,2017.0,,,,,,,,
65164,NONE,,YES,YES,YES,YES,NO,8 indoor parking spots and 0 outdoor parking spots,4.0,41.0,"APR 5, 2017",,,,FULL MODERNIZATION,REPLACED,,YES,Green Bin / Organics,YES,NO,ONE ON EACH FLOOR,REPLACED,2000.0,HOT WATER,YES,YES,NO,NO,YES,24HRS,BASEMENT ,YES,0.0,0.0,1.0,4.0,YES,NO,"Underground Garage , Garage accessible thru buildg",M4R,,YES,,PRIVATE,UNDERGROUNG PARKING GARAGE,4154024.0,NO,YES,NO,14  CHATSWORTH DR ,YES,YES,1940.0,YES,UNAVAILABLE,8,DOUBLE PANE,1936.0,2014.0,2017.0,,,,,,,,
65165,NONE,,YES,YES,YES,YES,NO,40 indoor parking spots and 0 outdoor parking spots,12.0,272.0,"JUL 15, 2017",,,,FULL MODERNIZATION,REPLACED,,YES,Green Bin / Organics,YES,NO,IN CHUTE ROOM,REPLACED,2005.0,HOT WATER,YES,YES,NO,NO,YES,24 HRS ,BASEMENT,YES,0.0,0.0,4.0,20.0,YES,NO,"Underground Garage , Garage accessible thru buildg",M4N,,YES,,PRIVATE,IN CHUTE ROOM,4154025.0,NO,YES,NO,3000  YONGE ST ,YES,YES,1960.0,YES,UNAVAILABLE,8,DOUBLE PANE,1955.0,2010.0,2017.0,,,,,,,,
65166,NONE,,YES,YES,YES,YES,NO,Not Available,6.0,102.0,"APR 15, 2017",,,,,ORIGINAL,,NO,Green Bin / Organics,YES,YES,NORTH SIDE,REPLACED,2001.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,2ND & 4TH FLOORS,YES,0.0,0.0,2.0,8.0,NO,YES,Surface Parking,M4C,,YES,RANEE MANAGEMENT,PRIVATE,NORTH SIDE,4154036.0,NO,NO,NO,100  GOODWOOD PARK CRT ,YES,YES,1956.0,NO,FREE,19,DOUBLE PANE,1956.0,,2017.0,,,,,,,,
65167,NONE,,YES,YES,YES,YES,NO,20 indoor parking spots and 0 outdoor parking spots,7.0,56.0,"JAN 23, 2020",,,,,REPLACED,,NO,Recycling bins,YES,NO,,REPLACED,2003.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,MAIN FLOOR,YES,0.0,0.0,1.0,6.0,YES,YES,Underground Garage,M4Y,,YES,PINEDALE PROPERTIES LTD,PRIVATE,DRIVEWAY AT THE FRONT,4153522.0,NO,YES,NO,137  ISABELLA ST ,YES,YES,1960.0,YES,UNAVAILABLE,13,DOUBLE PANE,1960.0,2003.0,2017.0,,,,,,,,
65168,NONE,Indoor pool,YES,YES,YES,YES,YES,34 indoor parking spots and 6 outdoor parking spots,20.0,116.0,"MAY 29, 2017",,,,,REPLACED,YES,NO,Recycling bins,YES,YES,,ORIGINAL,1960.0,ELECTRIC,YES,YES,YES,YES,YES,8AM-10PM,GROUND FLOOR,YES,0.0,99.0,2.0,12.0,NO,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",M4Y,,YES,GLEN CORPORATION,PRIVATE,INSIDE,4153526.0,NO,YES,NO,10  HUNTLEY ST ,YES,YES,1960.0,YES,FREE,13,DOUBLE PANE,1960.0,2008.0,2017.0,,,,,,,,
65169,NONE,,YES,NO,YES,YES,NO,Not Available,4.0,15.0,,,,,,,,NO,Green Bin / Organics,YES,NO,REAR,REPLACED,2007.0,HOT WATER,NO,YES,NO,NO,YES,9-5,BASEMENT,YES,0.0,10.0,0.0,4.0,YES,YES,"Ground Level Garage , Surface Parking",M4B,,NO,OWNER,PRIVATE,REAR,4154063.0,NO,NO,NO,2920  ST CLAIR AVE E,NO,,,,UNAVAILABLE,19,DOUBLE PANE,1956.0,,2017.0,,,,,,,,
65170,NONE,Child play area,YES,YES,YES,YES,NO,Not Available,17.0,250.0,"JUN 9, 2017",OUTSIDE,,,"CABS, MACHINES",REPLACED,,NO,Green Bin / Organics,YES,YES,OUTSIDE,ORIGINAL,1967.0,HOT WATER,NO,YES,NO,NO,YES,8-10,BASEMENT,YES,0.0,3.0,3.0,16.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M4C,,YES,RANEE MANAGEMENT,PRIVATE,OUTSIDE,4154075.0,NO,YES,NO,195  BARRINGTON AVE ,YES,YES,1967.0,NO,BOTH,19,DOUBLE PANE,1967.0,2008.0,2017.0,,,,,,,,
65171,NONE,,YES,YES,YES,YES,NO,0 indoor parking spots and 16 outdoor parking spots,11.0,212.0,"JAN 7, 2017",,,,ALL COMPONENTS WERE REPLACED,REPLACED,,NO,Green Bin / Organics,YES,YES,GARBAGE CONTAINER PAD,REPLACED,2010.0,HOT WATER,NO,YES,NO,NO,YES,8AM -11PM,MAINFLOOR,YES,0.0,0.0,3.0,18.0,NO,YES,"Underground Garage , Surface Parking",M4Y,,YES,,PRIVATE,GARBAGE CONTAINER PAD,4153530.0,NO,YES,NO,100  GLOUCESTER ST ,YES,YES,1960.0,NO,FREE,13,DOUBLE PANE,1960.0,2000.0,2017.0,,,,,,,,
65172,NONE,,YES,YES,YES,YES,NO,20 indoor parking spots and 0 outdoor parking spots,12.0,82.0,"DEC 2, 2015",,,,ALL,REPLACED,YES,NO,Green Bin / Organics,YES,YES,OUTSIDE,ORIGINAL,1965.0,ELECTRIC,YES,YES,NO,YES,YES,7AM TO 10PM,BASEMENT,NO,0.0,0.0,2.0,8.0,YES,YES,"Underground Garage , Surface Parking",M4Y,,YES,CROMWELL MANAGEMENT INC.,PRIVATE,OUTSIDE,4153532.0,NO,NO,NO,55  ISABELLA ST ,YES,YES,1965.0,YES,BOTH,13,DOUBLE PANE,1965.0,2007.0,2017.0,,,,,,,,
65173,INDIVIDUAL UNITS,,YES,YES,YES,YES,YES,40 indoor parking spots and 6 outdoor parking spots,9.0,75.0,"FEB 25, 2017",,,,,REPLACED,,NO,Recycling bins,YES,NO,,REPLACED,1993.0,HOT WATER,NO,YES,YES,NO,YES,8:00 AM TO 10:00 PM DAILY,MAIN FLOOR WEST,NO,0.0,1.0,2.0,9.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking , Parking Deck",M4Y,NO PETS,NO,REITTER MANAGEMENT CORPORATION,PRIVATE,EAST PARKING LOT,4153538.0,NO,YES,NO,55  CHARLES ST E,YES,YES,1958.0,YES,FREE,13,DOUBLE PANE,1958.0,1998.0,2017.0,,,,,,,,
65174,NONE,,YES,YES,YES,NO,NO,0 indoor parking spots and 20 outdoor parking spots,3.0,26.0,,,,,,,,YES,Recycling bins,YES,NO,,REPLACED,2010.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,BASEMENT,NO,0.0,0.0,0.0,4.0,YES,YES,,M4Y,,YES,,PRIVATE,OUTSIDE OF BUILDING,4153547.0,NO,NO,NO,44  HUNTLEY ST ,YES,YES,1915.0,,UNAVAILABLE,13,SINGLE PANE,1915.0,,2017.0,,,,,,,,
65175,NONE,,YES,YES,YES,YES,YES,Not Available,8.0,63.0,"NOV 10, 2015",,,,FULL REPLACEMENT - MCE,REPLACED,YES,NO,Green Bin / Organics,YES,YES,BACK OF THE BUILDING,ORIGINAL,1962.0,HOT WATER,NO,YES,NO,YES,YES,7:00 AM- 10:00 PM ,MAIN FLOOR,NO,3.0,4.0,2.0,8.0,YES,YES,Surface Parking,M3A,,YES,TCH,TCHC,BACK OF BUILDING,4155651.0,NO,NO,NO,14  RAYOAK DR ,YES,YES,1970.0,YES,PAID,16,DOUBLE PANE,1962.0,1999.0,2017.0,,,,,,,,
65176,INDIVIDUAL UNITS,"Indoor recreation room , Outdoor rec facilities , Indoor exercise room",YES,YES,YES,YES,YES,0 indoor parking spots and 10 outdoor parking spots,17.0,216.0,"NOV 7, 2016",,GYM,BBQ/PATIO AREA,,REPLACED,YES,NO,Green Bin / Organics,YES,YES,OUTSIDE,REPLACED,2015.0,HOT WATER,YES,YES,YES,YES,YES,24HRS,BASEMENT LEVEL,YES,0.0,1.0,3.0,22.0,NO,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",M2J,LEASHED,YES,,PRIVATE,OUTSIDE,4156727.0,NO,YES,NO,100  PARKWAY FOREST DR ,YES,YES,2015.0,YES,FREE,17,DOUBLE PANE,1967.0,2016.0,2017.0,,,,,,,,
65177,NONE,,YES,YES,YES,NO,NO,0 indoor parking spots and 2 outdoor parking spots,4.0,38.0,,,,,,,,NO,Green Bin / Organics,YES,NO,"SOUTH END,CENTRE, NORTH END",REPLACED,1999.0,HOT WATER,NO,YES,NO,NO,YES,8 AM TO 10 PM,IN THE BASEMENT,NO,0.0,2.0,0.0,4.0,YES,YES,Surface Parking,M8V,,YES,CAPREIT,PRIVATE,"SOUTH END,CENTRE, NORTH END",4156737.0,NO,YES,NO,148  ISLINGTON AVE ,NO,,,,UNAVAILABLE,3,DOUBLE PANE,1951.0,,2017.0,,,,,,,,
65178,NONE,,YES,YES,YES,YES,NO,Not Available,6.0,49.0,"DEC 1, 2017",,,,,ORIGINAL,,NO,Green Bin / Organics,YES,NO,REAR OF BUILDING,REPLACED,2007.0,HOT WATER,NO,YES,NO,NO,YES,9AM-10PM,1ST FLOOR,YES,0.0,2.0,1.0,6.0,NO,YES,"Ground Level Garage , Surface Parking",M4K,NO PETS ALLOWED,NO,660266 ONTARIO LTD,PRIVATE,REAR OF BUILDING,4154123.0,NO,NO,NO,51  GAMBLE AVE ,YES,YES,1960.0,YES,UNAVAILABLE,14,DOUBLE PANE,1960.0,,2017.0,,,,,,,,
65179,NONE,,YES,YES,YES,YES,NO,Not Available,12.0,173.0,"APR 15, 2015",,,,,ORIGINAL,,NO,Green Bin / Organics,YES,YES,REAR GARBAGE ENCLOSURE,REPLACED,2013.0,HOT WATER,NO,YES,NO,NO,YES,8:00 A.M. TO 10:00 P.M. DAILY,GROUND FLOOR,YES,0.0,0.0,3.0,18.0,NO,YES,"Underground Garage , Garage accessible thru buildg",M4K,,NO,M&R PROPERTY MANAGEMENT,PRIVATE,REAR GARBAGE ENCLOSURE,4154130.0,NO,YES,NO,50  COSBURN AVE ,YES,YES,1965.0,NO,FREE,14,DOUBLE PANE,1965.0,,2017.0,,,,,,,,
65180,NONE,"Indoor pool , Outdoor rec facilities , Sauna",YES,YES,YES,YES,NO,30 indoor parking spots and 0 outdoor parking spots,20.0,109.0,"MAY 16, 2016",,,GROUND LEVEL BBQ AREA,FULL MODERNIZATION,REPLACED,,NO,Green Bin / Organics,YES,YES,OUTDOOR PARKING LOT,ORIGINAL,1971.0,HOT WATER,YES,YES,NO,NO,YES,24 HOURS,FLOOR B1,YES,0.0,1.0,2.0,12.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Carport , Surface Parking",M4K,,YES,,PRIVATE,CARPORT,4154140.0,NO,NO,NO,1010  BROADVIEW AVE ,YES,YES,1971.0,NO,FREE,14,DOUBLE PANE,1971.0,2016.0,2017.0,,,,,,,,
65181,NONE,,YES,YES,YES,YES,YES,0 indoor parking spots and 10 outdoor parking spots,6.0,77.0,"OCT 15, 2009",,,,CONTROL AND MODERNIZATION,REPLACED,YES,NO,Recycling bins,YES,NO,,REPLACED,2012.0,HOT WATER,NO,YES,YES,YES,YES,8 AM TO 10 PM,FIRST FLOOR,YES,0.0,0.0,2.0,9.0,NO,YES,Parking Deck,M4H,,YES,PARK PROPERTY MANAGEMENT INC. ,PRIVATE,BACK OF BUILDING,4154145.0,NO,YES,NO,2  MILEPOST PL ,YES,YES,1960.0,YES,UNAVAILABLE,15,DOUBLE PANE,1960.0,2012.0,2017.0,,,,,,,,
65182,NONE,,YES,YES,YES,YES,YES,0 indoor parking spots and 10 outdoor parking spots,6.0,77.0,"JUN 19, 2009",,,,CONTROL MODULARIZATION,REPLACED,YES,NO,Recycling bins,YES,NO,,REPLACED,2014.0,HOT WATER,NO,YES,YES,YES,YES,8 AM TO 10 PM,FIRST FLOOR,YES,0.0,0.0,2.0,9.0,NO,YES,Parking Deck,M4H,,YES,PARK PROPERTY MANAGEMENT INC. ,PRIVATE,BACK OF BUILDING,4154146.0,NO,YES,NO,4  MILEPOST PL ,YES,YES,1960.0,YES,UNAVAILABLE,15,DOUBLE PANE,1960.0,2012.0,2017.0,,,,,,,,
65183,CENTRAL AIR,"Outdoor pool , Indoor recreation room , Outdoor rec facilities , Indoor exercise room , Sauna",YES,YES,YES,YES,YES,Not Available,21.0,372.0,"MAY 1, 2019",,,,MAJOR MODERNIZATION,REPLACED,YES,NO,Recycling bins,YES,YES,,REPLACED,2008.0,FORCED AIR GAS,YES,YES,YES,YES,YES,8AM TO 11PM,MAIN FLOOR,NO,0.0,2.0,5.0,40.0,NO,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",M2R,,YES,OXFORD PROPERTIES GROUP,PRIVATE,OUTSIDE,4154624.0,NO,YES,NO,300  ANTIBES DR ,YES,YES,1979.0,YES,FREE,6,DOUBLE PANE,1979.0,2011.0,2017.0,,,,,,,,
65184,NONE,,YES,YES,YES,YES,YES,0 indoor parking spots and 5 outdoor parking spots,18.0,221.0,"JUN 8, 2017",,,,,ORIGINAL,YES,NO,Green Bin / Organics,YES,YES,BACK OF BUILDING ,ORIGINAL,1970.0,HOT WATER,NO,YES,YES,YES,YES,24H,BASEMENT,YES,2.0,1.0,3.0,20.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M2R,,YES,DMS PROPERTY MANGEMENT,PRIVATE,BACK OF BUILDING ,4154629.0,NO,YES,NO,25  FISHERVILLE RD ,YES,YES,1970.0,YES,FREE,6,DOUBLE PANE,1970.0,,2017.0,,,,,,,,
65185,NONE,,NO,NO,YES,NO,NO,Not Available,3.0,11.0,,,,,,,NO,NO,Green Bin / Organics,YES,NO,GARBAGE STORAGE AREA,REPLACED,1991.0,FORCED AIR GAS,NO,YES,NO,YES,YES,ALL DAY,BASMENT,YES,0.0,9.0,0.0,1.0,YES,YES,Surface Parking,M9N,,YES,,PRIVATE,GARBAGE  STORAGE  AREA,4155143.0,NO,NO,NO,133  WOODWARD AVE ,NO,,,,UNAVAILABLE,5,DOUBLE PANE,1954.0,,2017.0,,,,,,,,
65186,NONE,,YES,NO,YES,NO,NO,Not Available,3.0,61.0,,,,,,,,NO,Recycling bins,YES,NO,,REPLACED,2016.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,BASEMENT,NO,0.0,0.0,0.0,5.0,NO,YES,Surface Parking,M9N,,YES,,PRIVATE,REAR OF THE BUILDING,4155155.0,NO,YES,NO,2275  WESTON RD ,YES,YES,1960.0,,UNAVAILABLE,5,DOUBLE PANE,1960.0,,2017.0,,,,,,,,
65187,NONE,,YES,YES,YES,YES,NO,Not Available,10.0,69.0,"OCT 15, 2015",,,,MODERNIZED,REPLACED,YES,NO,Recycling bins,YES,YES,,REPLACED,2011.0,HOT WATER,YES,YES,NO,YES,YES,24HRS,GROUND FLOOR,YES,0.0,0.0,2.0,12.0,NO,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",M9N,NONE,YES,CLV GROUP INC,PRIVATE,GARAGE,4155163.0,NO,YES,NO,2336  WESTON RD ,YES,YES,1963.0,YES,FREE,5,DOUBLE PANE,1963.0,1990.0,2017.0,,,,,,,,
65188,NONE,,YES,YES,YES,YES,NO,64 indoor parking spots and 0 outdoor parking spots,23.0,327.0,"JUL 6, 2018",,,,,REPLACED,YES,NO,Recycling bins,YES,YES,,REPLACED,2005.0,HOT WATER,YES,YES,NO,NO,YES,7AM-11PM,BASEMENT,YES,0.0,0.0,3.0,20.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M5A,,YES,AKELIUS CANADA LTD,PRIVATE,BEHIND THE BUILDING,4155664.0,NO,YES,NO,230  OAK ST ,YES,YES,2014.0,YES,FREE,13,DOUBLE PANE,1972.0,2014.0,2019.0,,,,,,,,
65189,INDIVIDUAL UNITS,Indoor recreation room,YES,NO,YES,NO,YES,12 indoor parking spots and 0 outdoor parking spots,4.0,14.0,"JAN 16, 2016",,,,,ORIGINAL,,NO,Green Bin / Organics,YES,YES,INDOOR (GARBAGE ROOM),ORIGINAL,2006.0,HOT WATER,YES,YES,NO,NO,NO,,,YES,0.0,1.0,1.0,,NO,NO,"Ground Level Garage , Surface Parking",M4G,NO DOGS,NO,WITTINGTON INVESTMENTS LTD.,PRIVATE,INDOOR (GARBAGE ROOM),4155665.0,NO,YES,NO,1425  BAYVIEW AVE ,YES,YES,2006.0,YES,FREE,15,DOUBLE PANE,2006.0,,2017.0,,,,,,,,
65190,CENTRAL AIR,"Indoor pool , Indoor recreation room , Indoor exercise room , Sauna",YES,YES,YES,YES,YES,Not Available,12.0,172.0,"MAY 5, 2016",,CARDIO AND WEIGHT ROOMS,,INTERIOR AND CONTROLS,REPLACED,YES,NO,Green Bin / Organics,YES,YES,LOADING DOCK AREA,REPLACED,2012.0,HOT WATER,NO,YES,YES,YES,YES,8AM-11PM,BASEMENT,YES,172.0,0.0,2.0,19.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M2M,,YES,,PRIVATE,LOADING DOCK AREA,4155674.0,NO,YES,NO,4003  BAYVIEW AVE ,YES,YES,1971.0,NO,FREE,17,DOUBLE PANE,1971.0,2005.0,2017.0,,,,,,,,
65191,NONE,,NO,NO,YES,YES,NO,Not Available,4.0,27.0,"MAR 18, 2010",,,,,ORIGINAL,NO,NO,Green Bin / Organics,YES,YES,WEST SIDE,REPLACED,2000.0,HOT WATER,YES,YES,NO,YES,YES,FOB ACCESS - 24 HOURS,BASEMENT,NO,0.0,27.0,1.0,4.0,YES,NO,"Carport , Surface Parking",M1P,,NO,,PRIVATE,WEST SIDE,4152736.0,NO,YES,NO,1191  ELLESMERE RD ,YES,NO,1987.0,NO,FREE,21,DOUBLE PANE,1976.0,,2017.0,,,,,,,,
65192,INDIVIDUAL UNITS,,YES,NO,YES,YES,YES,Not Available,6.0,60.0,"JAN 6, 2017",,,,ALL NEW COMPLETE,REPLACED,YES,NO,Recycling bins,YES,YES,,REPLACED,1994.0,HOT WATER,YES,YES,NO,YES,YES,9 AM TO 9PM,GROUND FLOOR,YES,2.0,65.0,1.0,10.0,YES,YES,"Underground Garage , Surface Parking",M1H,NO DOGS,NO,,PRIVATE,REAR PARKING LOT,4152743.0,NO,NO,NO,25  GREENBRAE CRCT ,YES,YES,2011.0,YES,FREE,24,DOUBLE PANE,1962.0,2004.0,2017.0,,,,,,,,
65193,NONE,,YES,YES,YES,YES,YES,Not Available,7.0,96.0,"SEP 15, 2017",,,,,ORIGINAL,,NO,Green Bin / Organics,YES,YES,PARKING BIN,REPLACED,1995.0,FORCED AIR GAS,NO,YES,NO,NO,YES,24HRS,MAIN FLOOR,YES,96.0,12.0,2.0,10.0,NO,YES,"Underground Garage , Surface Parking",M6L,,YES,ZENTIL GROUP OF COMPANIES,PRIVATE,PARKING LOT,4154345.0,YES,YES,YES,1550  LAWRENCE AVE W,YES,YES,1992.0,YES,FREE,5,SINGLE PANE,1963.0,,2017.0,,,,,,,,
65194,NONE,,YES,YES,YES,NO,NO,Not Available,3.0,11.0,,,,,,,YES,NO,Green Bin / Organics,YES,NO,EXTERIOR,REPLACED,1989.0,HOT WATER,NO,YES,,YES,YES,10AM TO 10PM,GROUND FLOOR,NO,0.0,0.0,0.0,2.0,YES,NO,Surface Parking,M6L,,NO,MARIA FORTE,PRIVATE,EXTERIOR,4154359.0,NO,YES,NO,2622  KEELE ST ,NO,,,,UNAVAILABLE,5,DOUBLE PANE,1954.0,,2017.0,,,,,,,,
65195,NONE,,YES,NO,YES,,NO,Not Available,3.0,11.0,,,,,,,,NO,Green Bin / Organics,YES,NO,OUTDOOR,REPLACED,2006.0,HOT WATER,NO,,NO,NO,YES,24/7,BASEMENT,YES,0.0,0.0,0.0,2.0,YES,YES,"Ground Level Garage , Surface Parking",M6L,,NO,CINTREX PROPERTY MANAGEMENT,PRIVATE,OUTDOOR,4154361.0,NO,YES,NO,2618  KEELE ST ,NO,,,,FREE,5,DOUBLE PANE,1955.0,,,,,,,,,,
65196,NONE,,NO,NO,YES,YES,YES,Not Available,4.0,70.0,"APR 12, 2017",,,,COMPLETE ELEVATOR RETROFIT,REPLACED,,NO,Green Bin / Organics,YES,YES,NORTH EAST CORNER OF BUILDING,ORIGINAL,1955.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,MAIN FLOOR,YES,0.0,0.0,1.0,6.0,NO,YES,"Ground Level Garage , Surface Parking",M4A,,NO,,PRIVATE,NORTH EAST CORNER OF BUILDING,4154861.0,NO,YES,NO,18  TINDER CRES ,YES,NO,1955.0,NO,FREE,16,DOUBLE PANE,1955.0,2001.0,2017.0,,,,,,,,
65197,NONE,,YES,YES,YES,YES,NO,Not Available,4.0,61.0,"NOV 1, 2018",,,,,REPLACED,,NO,Recycling bins,YES,NO,,REPLACED,2015.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,MAIN FLOOR,YES,0.0,0.0,1.0,6.0,YES,YES,"Ground Level Garage , Surface Parking",M4A,,YES,AKELIUS CANADA LTD.,PRIVATE,AT THE BACK OF BUILDING,4154870.0,NO,YES,NO,25  ECCLESTON DR ,YES,YES,1958.0,YES,UNAVAILABLE,16,DOUBLE PANE,1958.0,2015.0,2019.0,,,,,,,,
65198,NONE,,YES,NO,YES,YES,NO,Not Available,3.0,20.0,,,,,,,YES,NO,Green Bin / Organics,YES,NO,BACK OF BUILDING,REPLACED,1999.0,HOT WATER,NO,YES,NO,YES,YES,9:00 TO 9:00,BASEMENT,YES,0.0,20.0,0.0,4.0,NO,YES,"Ground Level Garage , Surface Parking",M4A,,YES,,PRIVATE,BACK OF BUILDING,4154877.0,NO,YES,NO,10  ELVASTON DR ,NO,,,,UNAVAILABLE,16,DOUBLE PANE,1959.0,,2017.0,,,,,,,,
65199,NONE,"Outdoor pool , Child play area",YES,YES,YES,YES,NO,Not Available,16.0,181.0,"JUL 7, 2016","SWINGS, SLIDE, JUNGLE GYM",,,,REPLACED,YES,NO,Green Bin / Organics,YES,YES,OUTSIDE OF BACK ENTRANCE,ORIGINAL,1967.0,ELECTRIC,NO,YES,YES,YES,YES,24 HOURS,MAIN FLOOR,NO,0.0,2.0,2.0,18.0,NO,YES,"Underground Garage , Surface Parking",M9R,,YES,,PRIVATE,OUTSIDE OF BACK ENTRANCE,4155368.0,NO,YES,NO,265  DIXON RD ,YES,YES,1967.0,YES,BOTH,2,THERMAL,1967.0,2016.0,2017.0,,,,,,,,
